Brand,Industry
Ferranti Cetec,Technology/Electronics
Fertilizer Manufacturers Association,Industry Association
Fiat,Automotive
Fidelity Stocks & Shares ISA,Financial Services
Findus Crispy Pancakes,Food & Beverages
Findus French Bread Pizza,Food & Beverages
Findus Lasagne,Food & Beverages
Fine Fare,Retail/Grocery
Fire Authority for Northern Ireland,Government
Fire Safety,Government/Public Safety
First Choice Holidays,Travel/Tourism
First Direct,Financial Services
First Great Western,Transportation
First Scotrail,Transportation
First4Adoption,Government/Non-Profit
Fleggaard,Retail/General
Flowers and Plants Association,Industry Association
Fona Dansk Elektrik,Utilities
Ford,Automotive
Ford Fiesta,Automotive
Ford Galaxy,Automotive
Ford Granada,Automotive
Forevermark,Retail/Jewelry
Formula 1,Sports/Entertainment
Foster's,Alcoholic Beverages
Fox's Biscuits,Food & Beverages
Foxtel,Media/Broadcasting
French Connection,Retail/Fashion
French Golden Delicious Apples,Food & Beverages
Freschetta,Food & Beverages
Frijj Milkshakes,Food & Beverages
Frish,Food & Beverages
Frizzell Insurance,Insurance
Fruitopia,Food & Beverages
Fruit-Tella,Food & Beverages
Fry's Turkish Delight,Food & Beverages
FT.com,Media/Publishing
Fybogel,Healthcare/Pharmaceuticals
Gala Bingo,Gaming/Entertainment
Galaxy S9,Technology/Electronics
Garnier,Personal Care
Garnier UltraLift,Personal Care
General Accident,Insurance
ghd,Personal Care
Gillette,Personal Care
Gini,Food & Beverages
Ginsters Pasties,Food & Beverages
Glasgow,Tourism/Government
Glasgow City Marketing Bureau,Tourism/Government
GLC,Government
Glenmorangie Whisky,Alcoholic Beverages
Glider,Transportation
Glow-Worm,Home Improvement
Go Luck Yourself,Gaming/Entertainment
Go.Compare,Technology/Services
Godiva,Food & Beverages
Gold Spot Breath Freshner,Personal Care
Goodyear Grandprix,Automotive
Gordon's Gin,Alcoholic Beverages
Gousto,Food & Beverages/Technology
Government Communication Service,Government
Grant's Whisky,Alcoholic Beverages
Great Western Railway,Transportation
Greater London Authority - Safer Travel at Night,Government
Greater Manchester Health and Social Care Partnership,Healthcare/Government
Green Giant Sweetcorn,Food & Beverages
Greene King IPA Bitter,Alcoholic Beverages
Greene Science,Technology/Services
Greenpeace,Non-Profit/Environmental
Group of Humanitarian Attention to the Demobilised,Non-Profit/Charity
Gu,Food & Beverages
Guardian The,Media/Publishing
Guinness,Alcoholic Beverages
Guinness Book Of Records,Media/Publishing
GWR,Transportation
H&M,Retail/Fashion
H. Samuel,Retail/Jewelry
Haagen-Dazs,Food & Beverages
Haig Club,Alcoholic Beverages
Halifax,Financial Services
Halifax - Student Banking,Financial Services
Halifax Bank of Scotland,Financial Services
Halifax Building Society,Financial Services
Halifax Building Society Convertible Term Shares,Financial Services
Halls Soothers,Healthcare/Pharmaceuticals
Hansa Lager,Alcoholic Beverages
Hargreaves Lansdown,Financial Services
Hastings Hotels,Hospitality/Tourism
Health Education Board - Anti-Smoking,Government/Healthcare
Health Education Board Scotland - Nation's Health,Government/Healthcare
Health Education Board Scotland - Physical Activity,Government/Healthcare
Health Promotion Board Singapore,Government/Healthcare
Heart & Stroke Foundation of Canada,Non-Profit/Charity
Heineken,Alcoholic Beverages
Heineken 0.0,Alcoholic Beverages
Heineken Export,Alcoholic Beverages
Heinz,Food & Beverages
Heinz [Seriously] Good Mayonnaise,Food & Beverages
Heinz Beanz Snap Pots,Food & Beverages
Heinz Pasta Sauces,Food & Beverages
Hellmann's Mayonnaise,Food & Beverages
Help for Heroes,Non-Profit/Charity
Help to Buy,Government/Housing
Hendrick's,Alcoholic Beverages
Henri Winterman Special Mild Cigars,Tobacco
Hep30,Healthcare/Pharmaceuticals
Hepworth Heating,Home Improvement
Herta,Food & Beverages
Hertfordshire Constabulary,Government/Law Enforcement
Hewlett Packard,Technology/Electronics
Hillarys,Home Improvement
Hiscox,Insurance
Historic Scotland,Government/Tourism
Hoechst,Healthcare/Pharmaceuticals
Hofels Garlic Pearles,Healthcare/Pharmaceuticals
Hofmeister,Alcoholic Beverages
Hollyoaks,Media/Entertainment
Homebase,Retail/Home Improvement
Honda,Automotive
Honda Civic,Automotive
Honda Odyssey,Automotive
Horlicks,Food & Beverages
Hotel Chocolat,Food & Beverages/Retail
Hotels.com,Travel/Technology
Hoverspeed,Transportation
Hovis,Food & Beverages
HP,Technology/Electronics
HSBC,Financial Services
Hudson Payne & Iddiolis,Business Services
Huggies Nappies,Personal Care
Hush Puppies,Retail/Fashion
Hyundai,Automotive
I Can't Believe It's Not Butter!,Food & Beverages
I Quit,Healthcare/Public Health
IBM,Technology/Electronics
Iceland Frozen Foods,Retail/Grocery
Ichnusa,Alcoholic Beverages
ICI,Chemicals/Industrial
ICI Dulux Natural Whites,Home Improvement
IFAW,Non-Profit/Environmental
iHobo,Technology/Services
IKEA,Retail/Furniture
IKEA Catalogue,Retail/Furniture
Imodium,Healthcare/Pharmaceuticals
Imperial Leather,Personal Care
Imperial War Museum,Entertainment/Culture
Impulse,Personal Care
Independent The,Media/Publishing
ING Direct,Financial Services
Insignia,Technology/Electronics
International Business Show,Business Services
International Wool Secretariat,Industry Association
IPA Society Meetings,Industry Association
Irish News The,Media/Publishing
Irish News The - GAA Fantasy Football,Media/Sports
Irn Bru,Food & Beverages
Israel Government Tourist Office,Tourism/Government
It Doesn't Have to Happen,Public Safety/Government
ITV,Media/Broadcasting
ITV & Veg Power,Media/Public Health
Jack Daniel's Tennessee Whiskey,Alcoholic Beverages
Jaguar Land Rover,Automotive
Jamie's School Dinners,Food & Beverages/Public Health
Jammie Dodgers,Food & Beverages
Jeep Cherokee,Automotive
Jeyes Bloo,Home & Garden
Jif Surface Cleaner,Home & Garden
John Frieda,Personal Care
John Lewis,Retail/General
John Lewis Insurance,Insurance
John Smith's Bitter,Alcoholic Beverages
Johnnie Walker,Alcoholic Beverages
Jungle Formula,Personal Care
Juvederm Ultra,Healthcare/Cosmetics
K Shoes,Retail/Fashion
Kaliber,Alcoholic Beverages
Karcher Pressure Washers,Home & Garden
Kärcher UK,Home & Garden
Karvol Nasal Decongestant,Healthcare/Pharmaceuticals
Kays Catalogue,Retail/General
Keep Britain Tidy,Non-Profit/Environmental
Kellogg's All Bran,Food & Beverages
Kellogg's Bran Flakes,Food & Beverages
Kellogg's Coco Pops,Food & Beverages
Kellogg's Cornflakes,Food & Beverages
Kellogg's Frozen Waffles,Food & Beverages
Kellogg's Nutri-Grain,Food & Beverages
Kellogg's Real Fruit Winders,Food & Beverages
Kellogg's Rice Krispies,Food & Beverages
Kellogg's Super Noodles,Food & Beverages
Kelso Racecourse,Sports/Entertainment
Kenco,Food & Beverages
Kensington Palace,Tourism/Government
Key 103 Radio,Media/Broadcasting
KFC,Food & Beverages/Restaurants
KFC Australia,Food & Beverages/Restaurants
KhairKhwah,Non-Profit/Charity
Kia Ora,Food & Beverages
Kitkat,Food & Beverages
Kiwi Shoe Polish,Personal Care
Kleenex Velvet,Personal Care
Knorr Stock Cubes,Food & Beverages
Knorr Stock Pot,Food & Beverages
Kodak Colour Print Film,Technology/Electronics
Kodak Inkjet Printer Range,Technology/Electronics
Kraft Sausage Rolls,Food & Beverages
Krona Margarine,Food & Beverages
Kronenbourg 1664,Alcoholic Beverages
Kwik-Fit,Automotive Services
Lada Cars,Automotive
Ladbrokes,Gaming/Gambling
Laithwaites Wine,Alcoholic Beverages/Retail
Lanacane,Healthcare/Pharmaceuticals
Lancashire Short Breaks,Tourism/Travel
Lanson Champagne,Alcoholic Beverages
LateRooms.com,Travel/Technology
Lay's,Food & Beverages
Le Creuset,Retail/Home & Garden
Le Piat D'Or,Alcoholic Beverages
Le Shuttle,Transportation
Lea & Perrins Worcestershire Sauce,Food & Beverages
Learndirect,Education/Technology
Learndirect Scotland,Education/Technology
Leeds Building Society Liquid Gold Account,Financial Services
Lego - Bionicle,Retail/Toys
Lego Minipacks,Retail/Toys
Legoland Windsor,Entertainment/Theme Parks
Lenor,Personal Care
Lets Do London,Tourism/Government
Levi 501s,Retail/Fashion
Levi Strauss,Retail/Fashion
Libresse,Personal Care
Lidl,Retail/Grocery
Lifebuoy,Personal Care
lights by TENA,Personal Care
Lil-lets,Personal Care
Lilt,Food & Beverages
Limelite Limescale Remover,Home & Garden
Lincoln Financial Group,Financial Services
Lincoln Motors,Automotive
Lion Bar,Food & Beverages
Listerine,Personal Care
Listermint,Personal Care
Littlewoods Pools,Gaming/Entertainment
Liverpool ONE,Retail/Shopping Centers
Lloyds Bank,Financial Services
Lloyds TSB,Financial Services
LNER,Transportation
London 2012 (Travel Demand Management),Government/Transportation
London Buses Driver Recruitment,Government/Transportation
London Business School Pre Masters Campaign,Education
London Docklands Development,Government/Real Estate
London Philharmonic,Entertainment/Culture
London Transport Fare Evasion,Government/Transportation
London Weekend Television,Media/Broadcasting
L'Oréal Paris,Personal Care
L'Oreal Paris Age Perfect,Personal Care
L'Oreal Paris UK,Personal Care
Lotto,Gaming/Gambling
Lucas Aerospace,Aerospace/Industrial
Lucozade,Food & Beverages
Lucozade Sport,Food & Beverages
Lukcy Lotteries,Gaming/Gambling
Lurpak,Food & Beverages
Lux,Personal Care
LV=,Insurance
LWT,Media/Broadcasting
Lynx,Personal Care
Lynx Pulse,Personal Care
Lynx Rise,Personal Care
Lyons Maid Fab,Food & Beverages
Lyons Maid Favourite Centres,Food & Beverages
M&G,Financial Services
Maaza,Food & Beverages
Maclaren Prams,Retail/Baby Products
Macmillan Cancer Support,Non-Profit/Charity
Macpherson Paints,Home Improvement
Magners,Alcoholic Beverages
Magnum 7 Sins,Food & Beverages
Magnum Gold ?!,Food & Beverages
Make Poverty History,Non-Profit/Charity
Malibu,Alcoholic Beverages
Maltesers,Food & Beverages
Manchester City Football Club,Sports/Entertainment
Manchester Evening News,Media/Publishing
Manger's Sugar Soap,Home & Garden
Marie Curie Cancer Care,Non-Profit/Charity
Marks & Spencer,Retail/General
Marks & Spencer Food,Retail/Grocery
Marks & Spencer Lingerie,Retail/Fashion
Marmite,Food & Beverages
Marmite XO,Food & Beverages
Marmoleum,Home Improvement
Married at First Sight,Media/Entertainment
Mars Incorporated,Food & Beverages
Marston's Low 'C,Alcoholic Beverages
Marston's Pedigree,Alcoholic Beverages
Maryland Cookies,Food & Beverages
Mastercard,Financial Services
Mattessons / Fridge Raiders,Food & Beverages
Mattessons Fridge Raiders,Food & Beverages
Maximuscle Sports Nutrition,Health & Fitness
Mayor of London,Government
Mazda Cars,Automotive
Mazola Corn Oil,Food & Beverages
McCain,Food & Beverages
McCain Oven Chips,Food & Beverages
McCain Wedges,Food & Beverages
McCann Demand,Business Services
McDonald's,Food & Beverages/Restaurants
McDonald's Virtual Coins,Food & Beverages/Technology
McDougalls Saucy Sponge,Food & Beverages
McVite's,Food & Beverages
McVitie's Abbey Crunch,Food & Beverages
McVitie's Jaffa Cakes,Food & Beverages
Médecins Sans Frontières UK,Non-Profit/Charity
Mercedes-Benz,Automotive
Mercury Communications,Telecommunications
Metrication,Government
Metropolitan Police,Government/Law Enforcement
Midland Bank Vector Account,Financial Services
Midland Bank's Live! Cash,Financial Services
Miele,Home Appliances
Milk,Food & Beverages
Miller Lite,Alcoholic Beverages
Milo,Food & Beverages
Mini,Automotive
Mini Cheddars,Food & Beverages
Missing People,Non-Profit/Charity
Mobile Internet,Telecommunications
Moneyextra,Financial Services
Monopoly,Retail/Toys
Monopoly City Streets,Gaming/Technology
Monster Munch,Food & Beverages
MORE4,Media/Broadcasting
Morrisons,Retail/Grocery
Mortgage Corporation,Financial Services
Motorola,Technology/Electronics
Motorola DEFY90,Technology/Electronics
Mr Kipling,Food & Beverages
Mr Muscle,Home & Garden
MTR,Food & Beverages
Müller,Food & Beverages
Multiple Sclerosis Society,Non-Profit/Charity
Munch Bunch,Food & Beverages
Murphy's Irish Stout,Alcoholic Beverages
Myk Menthol,Personal Care
Narellan Pools,Home & Garden
National Art Pass,Non-Profit/Culture
National Code And Number Change,Government/Telecommunications
National Dairy Council,Industry Association
National Depression Initiative (NDI),Healthcare/Non-Profit
National Lottery,Gaming/Government
National Savings,Financial Services
National Savings Income Bonds,Financial Services
National Savings Premium Bonds,Financial Services
National Trust,Non-Profit/Heritage
National Trust For Scotland,Non-Profit/Heritage
Nationwide,Financial Services
Nationwide Anglia Flex Account,Financial Services
Nationwide Building Society,Financial Services
Nationwide Flex Account,Financial Services
Naturella,Personal Care
Natwest,Financial Services
NatWest Business Development Loans,Financial Services
NCS,Technology/Services
Nefax Facsimilie,Technology/Electronics
Negas Cookers,Home Appliances
Nescafe,Food & Beverages
Nescafe Gold Blend,Food & Beverages
Nestle Caramac,Food & Beverages
Network Q,Automotive Services
Neutrogena,Personal Care
New Man Clothes,Retail/Fashion
New York Bakery Company,Food & Beverages
New Zealand Lamb,Food & Beverages
NHS,Healthcare/Government
NHS England,Healthcare/Government
NHS SEL,Healthcare/Government
NICEIC & ELECSA,Industry Association
Nicorette,Healthcare/Pharmaceuticals
Nike,Retail/Sports
Nikon,Technology/Electronics
Nissan,Automotive
Nissan Micra,Automotive
No More Nails,Home Improvement
Noise Awareness,Government/Public Health
Norsk Data,Technology/Electronics
North West Water,Utilities
Northern Bank Limited,Financial Services
Northern Ireland Court Service,Government
Northern Ireland Fire And Rescue Service,Government
Northern Ireland Office - Car Crime,Government
Northern Ireland Tourist Board,Tourism/Government
Norwich Union,Insurance
Norwich Union Stakeholder Pensions,Financial Services
Nouvelle Toilet Paper,Personal Care
Now That's What I Call Music,Media/Entertainment
NSPCC,Non-Profit/Charity
